2026-04-21T21:15:02.036Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T22:08:59.943Z [INFO ] GET /api/supplog/2026-04-09/totals 304 2ms pid=eugene_1774743355860
2026-04-21T22:08:59.949Z [INFO ] GET /api/supplog/2026-04-10/totals 304 8ms pid=eugene_1774743355860
2026-04-21T22:08:59.950Z [INFO ] GET /api/supplog/2026-04-11/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.950Z [INFO ] GET /api/supplog/2026-04-12/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.951Z [INFO ] GET /api/supplog/2026-04-13/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.952Z [INFO ] GET /api/supplog/2026-04-14/totals 304 2ms pid=eugene_1774743355860
2026-04-21T22:08:59.952Z [INFO ] GET /api/supplog/2026-04-15/totals 304 2ms pid=eugene_1774743355860
2026-04-21T22:08:59.952Z [INFO ] GET /api/supplog/2026-04-16/totals 304 2ms pid=eugene_1774743355860
2026-04-21T22:08:59.959Z [INFO ] GET /api/supplog/2026-04-17/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.959Z [INFO ] GET /api/supplog/2026-04-18/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.959Z [INFO ] GET /api/supplog/2026-04-19/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.959Z [INFO ] GET /api/supplog/2026-04-21/totals 304 1ms pid=eugene_1774743355860
2026-04-21T22:08:59.965Z [INFO ] GET /api/supplog/2026-04-20/totals 304 7ms pid=eugene_1774743355860
2026-04-21T22:09:44.173Z [INFO ] GET / 200 8ms pid=-
2026-04-21T22:09:44.232Z [INFO ] GET /app.js 200 5ms pid=-
2026-04-21T22:09:44.306Z [INFO ] GET /api/auth/me 200 1ms pid=-
2026-04-21T22:09:44.312Z [INFO ] GET /api/summary/2026-04-21 400 1ms pid=-
2026-04-21T22:09:44.317Z [INFO ] GET /api/supplog/2026-04-21/totals 400 1ms pid=-
2026-04-21T22:09:44.323Z [INFO ] GET /api/supplog/2026-04-21 400 0ms pid=-
2026-04-21T22:09:44.329Z [INFO ] GET /api/profiles 304 1ms pid=-
2026-04-21T22:09:44.367Z [INFO ] GET /api/supplements 400 1ms pid=-
2026-04-21T22:09:44.369Z [INFO ] GET /api/profiles 304 2ms pid=-
2026-04-21T22:09:44.393Z [INFO ] GET /api/settings 304 2ms pid=eugene_1774743355860
2026-04-21T22:09:44.407Z [INFO ] GET /api/supplements 200 1ms pid=eugene_1774743355860
2026-04-21T22:22:50.283Z [INFO ] GET /api/summary/2026-04-21 200 61ms pid=eugene_1774743355860
2026-04-21T22:22:50.283Z [INFO ] GET /api/supplog/2026-04-21/totals 200 60ms pid=eugene_1774743355860
2026-04-21T22:22:50.283Z [INFO ] GET /api/supplog/2026-04-21 200 60ms pid=eugene_1774743355860
2026-04-21T22:22:50.425Z [INFO ] GET /api/supplements 304 2ms pid=eugene_1774743355860
2026-04-21T22:22:50.490Z [INFO ] GET /thumbs/1775980314274_owdii0c1hea.png 200 66ms pid=-
2026-04-21T22:22:50.504Z [INFO ] GET /thumbs/1776804970517_ihqvt83h7lb.jpg 200 77ms pid=-
2026-04-21T22:23:18.698Z [INFO ] GET /api/library 304 48ms pid=eugene_1774743355860
2026-04-21T22:23:18.716Z [INFO ] GET /thumbs/1774748268861_bhf6eh8zjee.png 200 11ms pid=-
2026-04-21T22:23:18.718Z [INFO ] GET /thumbs/1774748562779_4krmnxt9rhg.jpg 200 6ms pid=-
2026-04-21T22:23:18.718Z [INFO ] GET /thumbs/1774822328673_7ds3zwr063y.jpg 200 6ms pid=-
2026-04-21T22:23:18.722Z [INFO ] GET /thumbs/1774898075631_hmk9eestuh.jpg 200 3ms pid=-
